time,open,high,low,close,Volume,Volume MA,MA
604765800,288.86,299.99,286.46,294.87,3504530000,3624871500,272.7620000000001
607613400,294.87,310.45,294.35,309.64,3237250000,3583614000,279.9540000000001
610032600,309.64,323.06,304.06,320.52,3747320000,3584820000,283.34400000000016
612711000,320.5,329.19,314.38,317.98,3966590000,3478424500,286.52400000000017
615475800,317.98,346.08,317.26,346.08,3249030000,3461399500,293.7140000000001
617981400,346.13,352.73,339,351.45,3949100000,3462517000,302.2740000000001
620659800,351.45,354.13,341.37,349.15,3035020000,3439533000,306.37400000000014
623338200,349.15,360.44,327.12,340.36,4012670000,3455504500,317.8180000000001
625933800,340.37,346.5,330.91,345.99,3032160000,3404464000,329.1340000000001
628525800,345.99,354.1,339.63,353.4,3213420000,3402097000,337.0360000000002
631204200,353.39,360.59,319.83,329.08,3793250000,3430191000,341.0040000000002
633882600,329.07,336.09,322.1,331.89,2961970000,3362954000,346.60600000000017
636301800,331.86,344.49,331.08,339.94,3283280000,3360194500,348.07000000000016
639063000,339.93,347.3,327.76,330.8,2801220000,3333882000,343.5960000000001
641568600,330.8,362.26,330.8,361.23,3596680000,3360743500,340.1440000000001
644247000,361.26,368.78,351.23,358.02,3226280000,3351299500,340.0600000000001
646925400,358.02,369.78,350.09,356.15,3373540000,3378835500,337.0220000000001
649517400,356.15,357.35,306.18,322.56,4020730000,3437627000,338.5880000000001
652368600,322.56,326.53,295.98,306.05,2687280000,3395380000,344.3760000000001
654787800,306.1,319.69,294.51,304,3671900000,3418161000,349.2280000000002
657469800,304,323.02,301.61,322.22,3149770000,3400423000,345.7520000000001
660234600,322.23,333.98,321.97,330.22,3116830000,3394402000,340.80200000000013
662740200,330.2,343.93,309.35,343.93,3660240000,3390048000,329.3560000000001
665418600,343.91,370.96,340.37,367.07,4303170000,3406877000,322.19600000000014
667837800,367.07,379.66,363.73,375.22,3927920000,3440821500,317.01000000000016
670516200,375.22,391.26,370.27,375.35,4017200000,3444226500,321.2840000000002
673104600,375.35,389.85,365.83,389.83,3739700000,3479460500,333.48800000000017
675955800,389.75,389.75,367.98,371.16,3258730000,3441763500,347.7320000000002
678375000,371.18,387.81,370.92,387.81,3481570000,3464234000,358.3580000000002
681053400,387.81,396.82,374.09,395.43,3713820000,3489254000,370.28000000000014
683818200,395.43,397.62,382.77,387.86,3260990000,3462641000,375.72600000000017
686323800,387.86,393.81,376.11,392.46,4082380000,3518661500,379.87400000000014
689005800,392.46,398.22,371.63,375.22,3737620000,3541378500,383.91600000000017
691684200,375.11,418.32,371.36,417.09,4155310000,3609083000,386.41800000000023
694276200,417.03,421.18,408.64,408.79,5286280000,3693563000,386.94400000000024
697127400,408.79,418.08,406.34,412.7,4267610000,3745629500,387.7560000000002
699546600,412.68,413.78,401.94,403.69,4066240000,3780264500,393.6120000000002
702138600,403.67,416.28,392.41,414.95,4315840000,3795020000,396.2840000000002
704727000,414.95,418.75,409.85,415.35,3643980000,3842855000,401.2520000000002
707405400,415.35,417.3,399.92,408.14,4259830000,3872251500,403.49800000000016
709997400,408.2,424.8,407.2,424.22,4265220000,3928024000,411.44400000000013
712848600,424.19,425.14,408.3,414.03,3653820000,3954873500,411.0960000000002
715354200,414.03,425.27,412.71,417.8,4023850000,3973054000,410.9660000000002
717946200,417.8,421.16,396.8,418.68,4507010000,3983246000,413.27000000000015
720714600,418.66,431.93,415.58,431.35,4148770000,3994288500,415.3380000000001
723220200,431.35,442.65,428.61,435.71,4876150000,4037236000,415.9080000000001
725898600,435.7,442.66,426.88,438.78,5280850000,4114293500,416.57400000000007
728577000,438.79,450.04,428.25,443.38,5442450000,4223479500,421.21600000000007
